,lon,lat
441303463,-147.6674511,64.8484819
441303466,-147.6672926,64.8486252
441303468,-147.6669473,64.8487086
441303469,-147.6668863,64.8486631
441303470,-147.6666613,64.848708
441303471,-147.6663451,64.8485308
441303472,-147.6657804,64.8486671
441303473,-147.6654177,64.8483958
441303474,-147.66595,64.8482339
441303475,-147.6658134,64.8480808
441303477,-147.6659215,64.8479434
441303478,-147.66628,64.8478568
441303480,-147.6665861,64.8478844
441303481,-147.6668701,64.8480507
441303483,-147.6673077,64.8479828
441303485,-147.6676242,64.8481622
441303486,-147.6671703,64.8482718
442310732,-147.6648867,64.8490285
466509244,-151.5502947,59.6523909
529156979,-149.7780891,61.0779524
542450315,-134.5835856,58.3592309
542547431,-134.5786677,58.3579777
542547436,-134.5790036,58.3579537
542547442,-134.5790575,58.3578384
542547446,-134.5791611,58.3576405
542547451,-134.5792275,58.3575056
542547464,-134.5776684,58.3572837
542547471,-134.5771666,58.3577732
542547475,-134.577121,58.3578645
542547480,-134.5770547,58.3577492
542547484,-134.5775315,58.3576361
542547489,-134.5774776,58.3577492
542547494,-134.5775937,58.3574186
542547501,-134.5779518,58.3576918
542547506,-134.5778436,58.3576775
542547554,-134.5786179,58.3580734
542547559,-134.5770091,58.3578471
542547566,-134.576441,58.3576666
542547573,-134.5763954,58.3577623
548826910,-134.4635206,58.3295351
560171392,-149.8186354,61.1897295
561045317,-149.8296606,61.2069018
561045466,-149.8086637,61.2240167
561046212,-149.7757652,61.2032859
561046318,-149.7869436,61.2187204
561046436,-149.7433111,61.2159048
561046498,-149.7327811,61.2325998
561046804,-149.8957779,61.1987632
561046937,-149.8886775,61.2083897
561046987,-149.8905207,61.2105645
563325553,-134.6485203,58.3890525
563325554,-134.6484768,58.3886473
563325555,-134.647362,58.3886802
563325556,-134.6473871,58.3889141
563325557,-134.6470866,58.388923
563325558,-134.6471084,58.3891252
563325559,-134.6474021,58.3891165
563325560,-134.6474268,58.3890847
563325611,-134.6372118,58.3846105
563325614,-134.6368536,58.3844579
563325615,-134.6366664,58.3845787
563325616,-134.63699,58.3847165
563325618,-134.6374544,58.3834971
563325619,-134.6377719,58.3833441
563325621,-134.6374801,58.3831956
563325622,-134.6376003,58.3831506
563325623,-134.6373685,58.3830291
563325626,-134.63742,58.3830111
563325628,-134.6374801,58.3830291
563325630,-134.6376518,58.3829437
563325631,-134.6377204,58.3829887
563325632,-134.6379608,58.3828672
563325633,-134.6377118,58.3827142
563325634,-134.6375402,58.3828222
563325635,-134.6374715,58.3827907
563325637,-134.6372569,58.3829077
